"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 07, 2022","43,865.0","42,416.0","44,500.0","41,715.0","5.52K","3.40%"
"Feb 08, 2022","44,060.5","43,865.0","45,400.0","42,713.0","7.62K","0.45%"
"Feb 09, 2022","44,432.0","44,060.5","44,839.6","43,160.0","3.71K","0.84%"
"Feb 10, 2022","43,545.0","44,432.0","45,851.0","43,255.0","7.33K","-2.00%"
"Feb 11, 2022","42,418.0","43,545.0","43,965.0","42,053.0","5.61K","-2.59%"
"Feb 12, 2022","42,239.1","42,418.0","43,028.0","41,810.0","2.66K","-0.42%"
"Feb 13, 2022","42,091.0","42,239.1","42,760.0","41,920.0","1.95K","-0.35%"
"Feb 14, 2022","42,559.9","42,091.0","42,852.0","41,608.0","4.78K","1.11%"
"Feb 15, 2022","44,559.9","42,559.9","44,762.0","42,467.0","4.11K","4.70%"
"Feb 16, 2022","43,885.0","44,559.9","44,584.0","43,382.0","3.27K","-1.51%"
"Feb 17, 2022","40,556.0","43,885.0","44,187.6","40,126.8","6.75K","-7.59%"
"Feb 18, 2022","40,037.0","40,559.0","40,983.0","39,571.0","4.68K","-1.28%"
"Feb 19, 2022","40,141.0","40,037.0","40,478.0","39,683.0","1.46K","0.26%"
"Feb 20, 2022","38,420.0","40,128.0","40,164.1","38,071.0","3.53K","-4.29%"
"Feb 21, 2022","37,054.0","38,420.0","39,531.0","36,829.0","8.51K","-3.56%"
"Feb 22, 2022","38,299.0","37,060.9","38,475.0","36,404.0","6.20K","3.36%"
"Feb 23, 2022","37,292.0","38,299.0","39,270.0","37,142.0","5.81K","-2.63%"
"Feb 24, 2022","38,380.0","37,292.0","39,716.0","34,435.0","17.88K","2.92%"
"Feb 25, 2022","39,243.0","38,380.0","39,717.0","38,071.1","6.43K","2.25%"
"Feb 26, 2022","39,125.0","39,243.0","40,274.0","38,633.0","3.59K","-0.30%"
"Feb 27, 2022","37,734.0","39,137.1","39,888.0","37,067.1","5.48K","-3.56%"
"Feb 28, 2022","43,202.0","37,734.0","44,198.0","37,502.0","8.45K","14.49%"
"Mar 01, 2022","44,442.0","43,202.0","44,939.0","42,878.0","6.34K","2.87%"
"Mar 02, 2022","43,952.0","44,442.0","45,326.0","43,386.0","5.57K","-1.10%"
"Mar 03, 2022","42,490.0","43,952.0","44,103.0","41,862.0","3.89K","-3.33%"
"Mar 04, 2022","39,171.0","42,489.0","42,559.0","38,621.0","6.38K","-7.81%"
"Mar 05, 2022","39,408.0","39,171.0","39,628.0","38,680.0","2.19K","0.61%"
"Mar 06, 2022","38,437.0","39,408.0","39,715.0","38,151.0","3.37K","-2.46%"
"Mar 07, 2022","38,039.0","38,437.0","39,559.0","37,198.0","6.78K","-1.04%"
